Taxa,Population
PI424513,R.SK
PI424516,R.SK
PI424521A,R.SK
PI424522,R.SK
PI424524,R.SK
PI424528,R.SK
PI424537,R.SK
PI424538,R.SK
PI424539,R.SK
PI424540,R.SK
PI424541,R.SK
PI424545,R.SK
PI424546A,R.SK
PI424546B,R.SK
PI424548,R.SK
PI424550,R.SK
PI424552,R.SK
PI424554,R.SK
PI424556,R.SK
PI424558A,R.SK
PI424563,R.SK
PI424565,R.SK
PI424566,R.SK
PI424567,R.SK
PI424568,R.SK
PI424569A,R.SK
PI424569B,R.SK
PI424570,R.SK
PI424571,R.SK
PI424572,R.SK
PI424573,R.SK
PI424579,R.SK
PI424580,R.SK
PI424584,R.SK
PI424587,R.SK
PI424590A,R.SK
PI424590B,R.SK
PI424597,R.SK
PI424600,R.SK
PI424605A,R.SK
PI424608A,R.SK
PI424608B,R.SK
PI424610,R.SK
PI424611A,R.SK
PI424611B,R.SK
PI424612,R.SK
PI424613,R.SK
PI424614,R.SK
